button press for z-direction,X Payload Deflection (mm),X Crane Position (mm),X Actual Velocity (mm/sec),Z-axis actual position,button press for x-direction,Time Y-dir (sec),Y Payload Deflection (mm),Y Crane Position (mm),Y Actual Velocity (mm/sec),Z-axis actual velocity,button press for y direction
0,-42,188,0,1729,0,18.97528,63,-355,116,0,0
0,-42,188,0,1729,0,19.02652,62,-349,118,0,0
0,-42,188,0,1729,0,19.12818,61,-343,118,0,0
0,-42,188,0,1729,0,19.17949,60,-337,118,0,0
0,-42,188,0,1729,0,19.23038,59,-331,120,0,0
0,-42,188,0,1729,0,19.33298,56,-324,120,0,0
0,-42,188,0,1729,0,19.38346,47,-318,122,0,0
0,-42,188,0,1729,0,19.43435,43,-312,124,0,0
0,-42,188,0,1729,0,19.48579,38,-306,124,0,0
0,-42,188,0,1729,0,19.58781,35,-299,126,0,0
0,-42,188,0,1729,0,19.63858,30,-293,128,0,0
0,-42,188,0,1729,0,19.74036,24,-286,128,0,0
0,-41,188,0,1729,0,19.79166,19,-280,130,0,0
0,-41,188,0,1729,0,19.79166,14,-273,132,0,0
0,-41,188,0,1729,0,19.94504,0,-266,132,0,0
0,-41,188,0,1729,0,19.99556,-5,-259,134,0,0
0,-39,188,0,1729,0,19.99556,-8,-252,136,0,0
0,-39,188,0,1729,0,20.14884,-13,-245,136,0,0
0,-39,188,0,1729,0,20.14884,-18,-238,138,0,0
0,-39,188,0,1729,0,20.19983,-21,-231,138,0,0
0,-38,188,0,1729,0,20.25077,-25,-224,140,0,0
0,-38,188,0,1729,0,20.35249,-29,-217,140,0,0
0,-38,188,0,1729,0,20.40382,-31,-210,140,0,0
0,-38,188,0,1729,0,20.45459,-36,-203,142,0,0
0,-37,188,0,1729,0,20.55713,-37,-196,142,0,0
0,-37,188,0,1729,0,20.60767,-38,-188,142,0,0
0,-37,188,0,1729,0,20.65856,-39,-181,142,0,0
0,-36,188,0,1729,0,20.70981,-38,-174,142,0,0
0,-36,188,0,1729,0,20.81209,-37,-167,142,0,0
0,-36,188,0,1729,0,20.86284,-35,-159,140,0,0
0,-36,188,0,1729,0,20.91362,-32,-152,140,0,0
0,-36,188,0,1729,0,20.91362,-30,-145,140,0,0
0,-36,188,0,1729,0,21.06701,-27,-138,138,0,0
0,-36,188,0,1729,0,21.11751,-24,-131,138,0,0
0,-36,188,0,1729,0,21.11751,-19,-124,136,0,0
0,-36,188,0,1729,0,21.271,-11,-117,136,0,0
0,-36,188,0,1729,0,21.271,-6,-110,134,0,0
0,-36,188,0,1729,0,21.32195,-1,-103,134,0,0
0,-36,188,0,1729,0,21.4753,4,-97,132,0,0
0,-36,188,0,1729,0,21.4753,24,-90,130,0,0
0,-37,188,0,1729,0,21.5259,29,-84,129,0,0
0,-37,188,0,1729,0,21.6281,35,-77,128,0,0
0,-37,188,0,1729,0,21.67876,39,-71,126,0,0
0,-37,188,0,1729,0,21.72979,44,-64,124,0,0
0,-38,188,0,1729,0,21.78091,48,-58,122,0,0
0,-38,188,0,1729,0,21.83183,53,-52,122,0,0
0,-38,188,0,1729,0,21.83183,56,-46,120,0,0
0,-38,188,0,1729,0,21.88283,60,-40,118,0,0
0,-38,188,0,1729,0,21.9341,62,-34,118,0,0
0,-38,188,0,1729,0,21.98491,64,-28,116,0,0
0,-41,188,0,1729,0,22.08701,70,-22,114,0,0
0,-41,188,0,1729,0,22.13783,70,-16,114,0,0
0,-41,188,0,1729,0,22.18879,70,-10,112,0,0
0,-41,188,0,1729,0,22.23994,69,-5,112,0,0
0,-41,188,0,1729,0,22.34224,69,1,112,0,0
0,-42,188,0,1729,0,22.39296,68,7,110,0,0
0,-42,188,0,1729,0,22.39296,66,12,110,0,0
0,-41,188,0,1729,0,22.54643,59,18,108,0,0
0,-42,188,0,1729,0,22.54643,50,23,108,0,0
0,-42,188,0,1729,0,22.597,44,29,108,0,0
0,-41,188,0,1729,0,22.64801,39,35,108,0,0
0,-42,188,0,1729,0,22.69924,35,40,106,0,0
0,-42,188,0,1729,0,22.75014,30,45,106,0,0
0,-42,188,0,1729,0,22.85215,25,51,106,0,0
0,-41,188,0,1729,0,22.90296,18,56,106,0,0
0,-41,188,0,1729,0,22.9539,12,61,104,0,0
